beer_link,rDev,user_rating,ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Name,Ranking,RatingCount,ReviewCount,Score,ScoreClass,Style,URL,pDev,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Sour,spicy,bitter,Aroma_None,Aroma_caramel,Aroma_floral,Aroma_fruit,Custom Flavor_None,Custom Flavor_banana,Custom Flavor_brown sugar,Custom Flavor_burnt,Custom Flavor_caramel,Custom Flavor_chocolate,Custom Flavor_earthy,Custom Flavor_herbal,Custom Flavor_pumpkin,Custom Flavor_roasted,Custom Flavor_smoke,Custom Flavor_toasted,Custom Flavor_wheat,Color_amber,Color_black,Color_dark ,Color_gold,Color_pale
https://www.beeradvocate.com/beer/profile/16393/41263/,5.8,3.24,5.0,Year-round,Mission Brewery,0.0,https://cdn.beeradvocate.com/im/beers/41263.jpg,"California, United States",Mission Hefeweizen,42118.0,194,67,3.44,Okay,Hefeweizen,https://www.beeradvocate.com/beer/profile/16393/41263/,18.6,2,1,0,2,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/18006/48582/,1.0,4.12,5.2,Year-round,Half Acre Beer Company,4.2,https://cdn.beeradvocate.com/im/beers/48582.jpg,"Illinois, United States",Daisy Cutter Pale Ale,1397.0,3802,887,4.16,Exceptional,American Pale Ale (APA),https://www.beeradvocate.com/beer/profile/18006/48582/,9.38,2,2,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/18149/38530/,1.9,4.2,5.5,Rotating,The Lost Abbey,0.0,https://cdn.beeradvocate.com/im/beers/38530.jpg,"California, United States",Red Poppy Ale,650.0,1979,582,4.28,Outstanding,Flanders Red Ale,https://www.beeradvocate.com/beer/profile/18149/38530/,9.11,2,0,2,2,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/16526/42029/,5.9,3.97,7.5,Rotating,Elk Creek Cafe + Aleworks,0.0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Pennsylvania, United States",Double Rainbow IPA,24418.0,57,12,3.75,Very Good,English India Pale Ale (IPA),https://www.beeradvocate.com/beer/profile/16526/42029/,13.33,2,2,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/735/52510/,4.5,3.65,8.3,Winter,21st Amendment Brewery,0.0,https://cdn.beeradvocate.com/im/beers/52510.jpg,"California, United States",Monk's Blood,13549.0,1418,527,3.82,Very Good,Belgian Strong Dark Ale,https://www.beeradvocate.com/beer/profile/735/52510/,12.83,3,1,2,2,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.beeradvocate.com/beer/profile/357/57259/,8.9,4,8.8,Rotating,New England Brewing Co.,0.0,https://cdn.beeradvocate.com/im/beers/57259.jpg,"Connecticut, United States",G-Bot Double IPA,261.0,2930,594,4.39,Outstanding,American Double / Imperial IPA,https://www.beeradvocate.com/beer/profile/357/57259/,8.66,3,3,3,0,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/3818/57908/,5.0,4.22,8.2,Year-round,Southern Tier Brewing Company,0.0,https://cdn.beeradvocate.com/im/beers/57908.jpg,"New York, United States",2XIPA,3131.0,4602,1078,4.03,Exceptional,American Double / Imperial IPA,https://www.beeradvocate.com/beer/profile/3818/57908/,11.17,3,3,3,0,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/18149/37197/,2.1,4.32,11.0,Winter,The Lost Abbey,4.25,https://cdn.beeradvocate.com/im/beers/37197.jpg,"California, United States",Serpent's Stout,917.0,1812,587,4.23,Exceptional,American Double / Imperial Stout,https://www.beeradvocate.com/beer/profile/18149/37197/,8.27,2,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.beeradvocate.com/beer/profile/345/8998/,2.7,4.12,12.0,Rotating,Victory Brewing Company - Downingtown,0.0,https://cdn.beeradvocate.com/im/beers/8998.jpg,"Pennsylvania, United States",V-Twelve,3659.0,1372,631,4.01,Exceptional,Quadrupel (Quad),https://www.beeradvocate.com/beer/profile/345/8998/,12.47,3,0,3,2,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/68/36342/,8.7,3.78,9.2,Rotating,Flying Dog Brewery,3.7,https://cdn.beeradvocate.com/im/beers/36342.jpg,"Maryland, United States",Barrel Aged Gonzo Imperial Porter,1765.0,759,330,4.14,Exceptional,Baltic Porter,https://www.beeradvocate.com/beer/profile/68/36342/,9.9,3,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
